"ITEMID","TARGETNAME","VAL"
"A4132","ATK","44"
"A4133","ATK","38"
"A4134","ATK","38"
"A4135","ATK","38"
"A4136","ATK","38"
"A4137","ATK","38"
"A4138","ATK","25"
"A4139","ATK","6"
"A4140","ATK","7"
"A4141","ATK","12"
"A4144","POW","5"
"A4145","POW","15"
"A4146","CRT_P","0.5"
"A4147","HP","5"
"A4148","STR","10"
"A4149","STR","15"
"A4150","SPD","30"
"A4151","SPD","5"
"A4152","HP","10"
"A4153","M_CRT_V","0.5"
"A4155","POW","6"
"A4156","POW","4"
"A4157","DEF","5"
"A4158","POW","5"
"A4159","MOV","5"
"A4160","DEF","8"
"A4161","DEF","4"
"A4162","DEF","112"
"A4163","DEF","22"
"A4164","DEF","6"
"A4165","DEF","42"
"A4166","DEF","16"
"A4167","DEF","20"
"A4168","DEF","22"
"A4169","DEF","44"
"A4170","DEF","86"
"A4171","DEF","60"
"A4172","DEF","12"
"A4173","DEF","1"
"A4174","DEF","1"
"A4175","DEF","2"
"A4176","DEF","25"
"A4177","ATK","1192"
"A4178","DEF","48"
"A4179","DEF","40"
"A4180","DEF","38"
"A4181","DEF","15"
"A4182","ATK","20"
"A4183","ATK","38"
"A4184","ATK","36"
"A4185","ATK","34"
"A4186","ATK","30"
"A4187","ATK","24"
"A4188","ATK","20"
"A4189","ATK","18"
"A4190","ATK","18"
"A4191","ATK","20"
"A4192","ATK","60"
"A4193","ATK","95"
"A4194","ATK","18"
"A4195","ATK","60"
"A4196","ATK","28"
"A4197","ATK","70"
"A4198","ATK","48"
"A4199","ATK","26"
"A4200","ATK","38"
"A4201","ATK","66"
"A4202","ATK","38"
"A4203","ATK","24"
"A4204","ATK","33"
"A4205","ATK","33"
"A4206","ATK","485"
"A4207","ATK","18"
"A4213","ATK","38"
"A4219","DEF","18"
"A4220","DEF","13"
"A4222","DEF","20"
"A4223","DEF","327"
"A4224","ATK","2"
"A4225","ATK","12"
"A4226","ATK","36"
"A4227","ATK","36"
"A4228","ATK","29"
"A4231","ATK","4"
"A4232","ATK","32"
"A4233","DEF","1"
"A4234","ATK","70"
"A4235","ATK","82"
"A4236","ATK","88"
"A4237","ATK","77"
"A4238","ATK","90"
"A4239","ATK","85"
"A4240","ATK","97"
"A4241","DEF","1"
"A4242","ATK","8"
"A4243","ATK","24"
"A4244","ATK","114"
"A4245","ATK","114"
"A4246","DEF","30"
"A4247","DEF","38"
"A4248","ATK","70"
"A4249","DEF","50"
"A4250","ATK","255"
"A4251","ATK","70"
"A4252","ATK","40"
"A4253","ATK","20"
"A4257","ATK","10"
"A4258","ATK","8"
"A4259","ATK","7"
"A4260","ATK","80"
"A4261","ATK","54"
"A4262","ATK","61"
"A4263","ATK","46"
"A4264","ATK","57"
"A4265","ATK","56"
"A4266","ATK","39"
"A4267","ATK","74"
"A4268","ATK","40"
"A4269","ATK","75"
"A4270","ATK","81"
"A4271","ATK","63"
"A4272","ATK","67"
"A4273","ATK","108"
"A4274","ATK","47"
"A4275","ATK","40"
"A4276","ATK","86"
"A4277","M_ATK","10"
"A4630","ATK","4"
"A4631","ATK","4"
"A4680","ATK","18"
"A4702","DEF","38"
"A4703","DEF","32"
"A4704","DEF","29"
"A4707","ATK","29"
"A4708","ATK","7"
"A4717","DEF","25"
"A4718","DEF","1"
"A4719","DEF","1"
"A4720","DEF","1"
"A4721","DEF","1"
"A4722","DEF","1"
"A4723","DEF","1"
"A4724","DEF","1"
"A4725","DEF","8"
"A4726","DEF","6"
"A4727","DEF","1"
"A4728","ATK","4"
"A4729","ATK","4"
"A4730","ATK","4"
"A4731","ATK","4"
"A4733","DEF","24"
"A4734","DEF","1"
"A4735","DEF","1"
"A4736","DEF","1"
"A4737","DEF","1"
"A4738","ATK","2"
"A4739","ATK","3"
"A4740","ATK","4"
"A4742","ATK","3"
"A4743","ATK","68"
"A4744","ATK","71"
"A4745","DEF","32"
"A4746","DEF","25"
"A4747","DEF","1"
"A4750","ATK","30"
"A4751","ATK","24"
"A4752","ATK","39"
"A4753","ATK","38"
"A4754","ATK","40"
"A4755","ATK","34"
"A4756","ATK","49"
"A4757","ATK","44"
"A4763","ATK","3"
"A4764","ATK","68"
"A4765","ATK","55"
"A4766","ATK","82"
"A4767","ATK","62"
"A4768","ATK","64"
"A4769","ATK","8"
"A4770","DEF","1"
"A4776","DEF","77"
"A4777","DEF","60"
"A4778","DEF","55"
"A4779","DEF","12"
"A4780","DEF","10"
"A4781","DEF","10"
"A4782","DEF","8"
"A4783","DEF","6"
"A4784","DEF","4"
"A4785","DEF","8"
"A4786","DEF","4"
"A4787","DEF","2"
"A4788","DEF","6"
"A4789","DEF","6"
"A4790","DEF","6"
"A4840","DEF","2"
"A4841","DEF","3"
"A4842","DEF","1"
"A4843","DEF","4"
"A4891","DEF","46"
"A4892","DEF","57"
"A4893","DEF","69"
"A4894","DEF","35"
"A4895","DEF","42"
"A4896","DEF","50"
"A4897","DEF","40"
"A4898","DEF","50"
"A4899","DEF","60"
"A4900","DEF","10"
"A4901","DEF","25"
"A4902","DEF","12"
"A4903","DEF","31"
"A4904","DEF","27"
"A4905","DEF","40"
"A4906","DEF","30"
"A4907","DEF","41"
"A4908","DEF","27"
"A4909","DEF","13"
"A4910","DEF","5"
"A4911","DEF","3"
"A4912","DEF","2"
"A4913","DEF","4"
"A4914","DEF","5"
"A4915","DEF","7"
"A4916","DEF","68"
"A4917","DEF","25"
"A4918","DEF","25"
"A4919","ATK","5"
"A4920","DEF","27"
"A4921","DEF","15"
"A4922","DEF","18"
"A4923","DEF","20"
"A4924","DEF","20"
"A4925","DEF","18"
"A4926","DEF","15"
"A4927","DEF","12"
"A4934","DEF","40"
"A4935","DEF","15"
"A4936","ATK","51"
"A4937","DEF","51"
"A4938","DEF","8"
"A4939","DEF","8"
"A4940","DEF","8"
"A4941","DEF","2"
"A4942","DEF","85"
"A4945","ATK","18"
"A4946","ATK","27"
"A4947","DEF","8"
"A4948","DEF","8"
"A4949","DEF","8"
"A4951","DEF","16"
"A4952","DEF","12"
"A4953","DEF","8"
"A4954","DEF","8"
"A4955","DEF","8"
"A4987","ATK","50"
"A4988","ATK","48"
"A4989","ATK","45"
"A4990","ATK","40"
"A4991","ATK","47"
"A4992","ATK","18"
"A4993","ATK","255"
"A4994","ATK","568"
"A4995","ATK","412"
"A4996","ATK","385"
"A4997","ATK","456"
"A4998","ATK","24"
"A4999","ATK","68"
"A5000","ATK","18"
"A5001","DEF","37"
"A5002","ATK","25"
"A5003","ATK","25"
"A5004","ATK","20"
"A5005","ATK","40"
"A5006","ATK","16"
"A5007","ATK","18"
"A5008","ATK","18"
"A5009","ATK","27"
"A5010","ATK","27"
"A5011","ATK","32"
"A5012","DEF","20"
"A5013","DEF","20"
"A5014","DEF","20"
"A5015","DEF","11"
"A5016","ATK","36"
"A5017","DEF","35"
"A5018","DEF","35"
"A5019","DEF","35"
"A5020","ATK","243"
"A5021","ATK","428"
"A5022","ATK","46"
"A5023","ATK","18"
"A5024","ATK","18"
"A5025","DEF","44"
"A5027","ATK","30"
"A5028","ATK","22"
"A5029","DEF","38"
"A5030","DEF","5"
"A4044","DEF","15"
"A4045","DEF","5"
"A4046","DEF","5"
"A4047","DEF","5"
"A4051","DEF","10"
"A4052","DEF","10"
"A4053","DEF","10"
"A4075","SAN","-20"
"A4076","SAN","-20"
"A4096","DEF","5"
"A4104","DEF","5"
"A4108","DEF","45"
"A4116","DEF","5"
"A4117","DEF","5"
"A4118","DEF","5"
"A4119","DEF","5"
"A4120","DEF","5"
"A4121","DEF","15"
"A4128","M_ATK","20"
"A4133","M_ATK","25"
"A4134","M_ATK","25"
"A4135","M_ATK","25"
"A4136","M_ATK","25"
"A4137","M_ATK","25"
"A4138","M_ATK","36"
"A4139","M_ATK","20"
"A4140","M_ATK","24"
"A4141","M_ATK","12"
"A4145","SAN","10"
"A4147","STR","5"
"A4161","SPD","2"
"A4162","SPD","-8"
"A4178","AVO","-0.03"
"A4179","CUT_P","0.25"
"A4180","AVO","-0.03"
"A4181","POW","-15"
"A4184","AVO","-0.07"
"A4185","AVO","-0.03"
"A4186","AVO","-0.03"
"A4187","AVO","-0.03"
"A4188","AVO","-0.03"
"A4189","AVO","-0.03"
"A4190","AVO","-0.03"
"A4191","AVO","-0.03"
"A4192","SPD","-8"
"A4193","SPD","-16"
"A4194","AVO","-0.09"
"A4195","AVO","-0.09"
"A4196","AVO","-0.09"
"A4197","AVO","-0.09"
"A4198","AVO","-0.03"
"A4201","AVO","-0.03"
"A4202","AVO","-0.07"
"A4203","AVO","-0.04"
"A4206","AVO","-0.09"
"A4207","AVO","-0.04"
"A4213","AVO","-0.04"
"A4219","AVO","-0.04"
"A4220","AVO","-0.04"
"A4222","AVO","-0.06"
"A4223","AVO","-0.1"
"A4225","POW","-20"
"A4232","POW","5"
"A4233","CUT_P","0.25"
"A4234","AVO","-0.04"
"A4235","AVO","-0.04"
"A4236","AVO","-0.05"
"A4237","AVO","-0.05"
"A4238","AVO","-0.05"
"A4239","AVO","-0.05"
"A4240","AVO","-0.05"
"A4241","POW","1"
"A4243","AVO","-0.05"
"A4244","AVO","-0.05"
"A4245","AVO","-0.05"
"A4246","AVO","-0.05"
"A4247","AVO","-0.1"
"A4248","AVO","-0.09"
"A4249","AVO","-0.1"
"A4250","SPD","-24"
"A4251","AVO","-0.05"
"A4252","AVO","-0.05"
"A4260","AVO","-0.05"
"A4261","AVO","-0.05"
"A4262","AVO","-0.05"
"A4263","AVO","-0.05"
"A4264","AVO","-0.05"
"A4265","AVO","-0.05"
"A4266","AVO","-0.05"
"A4267","AVO","-0.05"
"A4268","AVO","-0.05"
"A4269","AVO","-0.05"
"A4270","AVO","-0.05"
"A4271","AVO","-0.05"
"A4272","AVO","-0.05"
"A4273","AVO","-0.05"
"A4274","AVO","-0.05"
"A4275","AVO","-0.05"
"A4276","AVO","-0.05"
"A4680","M_ATK","18"
"A4702","AVO","-0.05"
"A4703","AVO","-0.05"
"A4704","POW","5"
"A4717","AVO","-0.05"
"A4718","DEX","1"
"A4719","DEX","1"
"A4720","DEX","1"
"A4721","DEX","1"
"A4722","DEX","1"
"A4723","DEX","1"
"A4724","DEX","1"
"A4725","POW","-19"
"A4726","POW","8"
"A4727","POW","-6"
"A4733","AVO","-0.05"
"A4734","DEX","1"
"A4735","DEX","1"
"A4736","DEX","1"
"A4737","DEX","1"
"A4743","AVO","-0.05"
"A4744","AVO","-0.05"
"A4745","AVO","-0.05"
"A4746","AVO","-0.05"
"A4747","DEX","1"
"A4750","AVO","-0.05"
"A4752","AVO","-0.1"
"A4753","AVO","-0.05"
"A4754","AVO","-0.05"
"A4756","AVO","-0.1"
"A4757","AVO","-0.05"
"A4764","AVO","-0.05"
"A4766","AVO","-0.1"
"A4767","AVO","-0.05"
"A4768","AVO","-0.05"
"A4769","AVO","-0.05"
"A4776","AVO","-0.1"
"A4778","AVO","-0.1"
"A4783","M_ATK","5"
"A4784","M_ATK","5"
"A4785","M_ATK","5"
"A4787","ATK","8"
"A4788","POW","7"
"A4789","POW","7"
"A4790","POW","7"
"A4891","AVO","-0.12"
"A4892","AVO","-0.12"
"A4893","AVO","-0.12"
"A4894","AVO","-0.05"
"A4895","AVO","-0.05"
"A4896","AVO","-0.05"
"A4897","AVO","-0.05"
"A4898","AVO","-0.05"
"A4899","AVO","-0.05"
"A4900","SPD","5"
"A4901","SPD","4"
"A4902","SPD","3"
"A4903","SPD","1"
"A4904","SPD","1"
"A4905","SPD","1"
"A4906","SPD","1"
"A4907","AVO","-0.05"
"A4909","SPD","3"
"A4910","SPD","6"
"A4911","SPD","9"
"A4912","SPD","3"
"A4913","SPD","8"
"A4914","SPD","12"
"A4915","SPD","5"
"A4916","SPD","2"
"A4917","POW","2"
"A4918","POW","2"
"A4919","POW","-25"
"A4920","POW","-10"
"A4921","SPD","6"
"A4934","M_ATK","66"
"A4936","AVO","-0.05"
"A4937","AVO","-0.15"
"A4941","SPD","6"
"A4942","SPD","2"
"A4945","M_ATK","33"
"A4946","AVO","-0.05"
"A4951","MOV","15"
"A4952","MOV","15"
"A4987","AVO","-0.05"
"A4988","AVO","-0.05"
"A4989","AVO","-0.05"
"A4990","AVO","-0.05"
"A4991","AVO","-0.05"
"A4992","M_ATK","40"
"A4993","M_ATK","32"
"A4994","AVO","-0.15"
"A4995","AVO","-0.05"
"A4996","AVO","-0.05"
"A4997","AVO","-0.05"
"A5001","AVO","-0.05"
"A5002","M_ATK","45"
"A5003","M_ATK","45"
"A5004","M_ATK","50"
"A5005","M_ATK","55"
"A5006","M_ATK","70"
"A5007","M_ATK","65"
"A5008","M_ATK","74"
"A5009","M_ATK","60"
"A5010","M_ATK","60"
"A5011","M_ATK","82"
"A5012","CUT_P","0.25"
"A5013","CUT_P","0.25"
"A5014","CUT_P","0.25"
"A5016","M_ATK","44"
"A5017","CUT_P","0.05"
"A5018","CUT_P","0.05"
"A5019","CUT_P","0.05"
"A5020","M_ATK","260"
"A5021","AVO","-0.05"
"A5022","M_ATK","125"
"A5023","M_ATK","18"
"A5024","M_ATK","36"
"A5025","AVO","-0.05"
"A5028","M_ATK","41"
"A5029","POW","15"
"A5030","SPD","7"
"A4044","AVO","-0.07"
"A4045","AVO","-0.07"
"A4046","AVO","-0.07"
"A4047","AVO","-0.07"
"A4048","AVO","-0.02"
"A4049","AVO","-0.02"
"A4050","AVO","-0.02"
"A4051","AVO","-0.17"
"A4052","AVO","-0.17"
"A4053","AVO","-0.17"
"A4054","AVO","-0.02"
"A4055","AVO","-0.02"
"A4056","AVO","-0.02"
"A4057","AVO","-0.07"
"A4058","AVO","-0.07"
"A4059","AVO","-0.07"
"A4060","AVO","-0.02"
"A4075","POW","-20"
"A4076","POW","-20"
"A4095","AVO","-0.07"
"A4096","AVO","-0.07"
"A4097","AVO","-0.07"
"A4098","AVO","-0.08"
"A4099","AVO","-0.08"
"A4100","AVO","-0.08"
"A4101","AVO","-0.08"
"A4102","AVO","-0.08"
"A4103","AVO","-0.08"
"A4104","AVO","-0.07"
"A4105","AVO","-0.03"
"A4106","AVO","-0.03"
"A4107","AVO","-0.03"
"A4108","AVO","-0.22"
"A4109","AVO","-0.03"
"A4110","AVO","-0.03"
"A4111","AVO","-0.03"
"A4112","AVO","-0.03"
"A4113","AVO","-0.03"
"A4114","AVO","-0.03"
"A4115","AVO","-0.07"
"A4116","AVO","-0.04"
"A4117","AVO","-0.07"
"A4118","AVO","-0.07"
"A4119","AVO","-0.07"
"A4120","AVO","-0.03"
"A4121","AVO","-0.09"
"A4122","AVO","-0.03"
"A4123","AVO","-0.03"
"A4124","AVO","-0.03"
"A4125","AVO","-0.03"
"A4126","AVO","-0.03"
"A4127","AVO","-0.07"
"A4128","AVO","-0.03"
"A4129","AVO","-0.07"
"A4130","AVO","-0.07"
"A4131","AVO","-0.07"
"A4132","AVO","-0.03"
"A4133","AVO","-0.03"
"A4134","AVO","-0.03"
"A4135","AVO","-0.03"
"A4136","AVO","-0.03"
"A4137","AVO","-0.03"
"A4145","DEF","5"
"A4162","AVO","-0.3"
"A4178","CUT_P","0.25"
"A4184","CUT_P","0.08"
"A4185","CUT_P","0.05"
"A4186","CUT_P","0.05"
"A4187","CUT_P","0.05"
"A4188","CUT_P","0.05"
"A4189","CUT_P","0.05"
"A4190","CUT_P","0.05"
"A4191","CUT_P","0.05"
"A4192","AVO","-0.3"
"A4193","AVO","-0.4"
"A4194","CUT_P","0.09"
"A4195","CUT_P","0.09"
"A4196","CUT_P","0.09"
"A4197","CUT_P","0.09"
"A4198","CUT_P","0.05"
"A4201","CUT_P","0.05"
"A4202","CUT_P","0.08"
"A4203","CUT_P","0.04"
"A4206","CUT_P","0.09"
"A4207","CUT_P","0.04"
"A4213","CUT_P","0.04"
"A4219","CUT_P","0.08"
"A4220","CUT_P","0.12"
"A4222","CUT_P","0.14"
"A4223","CUT_P","0.16"
"A4225","SAN","-20"
"A4232","SAN","5"
"A4234","CUT_P","0.04"
"A4235","CUT_P","0.04"
"A4236","CUT_P","0.05"
"A4237","CUT_P","0.05"
"A4238","CUT_P","0.05"
"A4239","CUT_P","0.05"
"A4240","CUT_P","0.05"
"A4243","CUT_P","-0.05"
"A4244","CUT_P","0.05"
"A4245","CUT_P","0.05"
"A4246","CUT_P","0.15"
"A4247","CUT_P","0.15"
"A4248","CUT_P","0.09"
"A4249","CUT_P","0.15"
"A4250","AVO","-0.5"
"A4251","CUT_P","0.05"
"A4252","CUT_P","0.05"
"A4260","CUT_P","0.05"
"A4261","CUT_P","0.05"
"A4262","CUT_P","0.05"
"A4263","CUT_P","0.05"
"A4264","CUT_P","0.05"
"A4265","CUT_P","0.05"
"A4266","CUT_P","0.05"
"A4267","CUT_P","0.05"
"A4268","CUT_P","0.05"
"A4269","CUT_P","0.05"
"A4270","CUT_P","0.05"
"A4271","CUT_P","0.05"
"A4272","CUT_P","0.05"
"A4273","CUT_P","0.05"
"A4274","CUT_P","0.05"
"A4275","CUT_P","0.05"
"A4276","CUT_P","0.05"
"A4702","POW","15"
"A4703","POW","15"
"A4717","POW","-7"
"A4718","AVO","1"
"A4719","AVO","1"
"A4720","AVO","1"
"A4721","AVO","1"
"A4722","AVO","1"
"A4723","AVO","1"
"A4724","AVO","1"
"A4725","AVO","0.09"
"A4727","AVO","0.06"
"A4733","POW","-7"
"A4734","AVO","1"
"A4735","AVO","1"
"A4736","AVO","1"
"A4737","AVO","1"
"A4743","CUT_P","0.05"
"A4744","CUT_P","0.09"
"A4745","POW","15"
"A4746","POW","-7"
"A4747","AVO","1"
"A4750","CUT_P","0.05"
"A4752","CUT_P","0.1"
"A4753","CUT_P","0.05"
"A4754","CUT_P","0.05"
"A4756","CUT_P","0.1"
"A4757","CUT_P","0.05"
"A4764","CUT_P","0.05"
"A4766","CUT_P","0.1"
"A4767","CUT_P","0.05"
"A4768","CUT_P","0.05"
"A4769","CUT_P","0.05"
"A4776","CUT_P","0.1"
"A4778","CUT_P","0.1"
"A4891","CUT_P","0.12"
"A4892","CUT_P","0.12"
"A4893","CUT_P","0.12"
"A4894","CUT_P","0.05"
"A4895","CUT_P","0.05"
"A4896","CUT_P","0.05"
"A4897","CUT_P","0.05"
"A4898","CUT_P","0.05"
"A4899","CUT_P","0.05"
"A4900","MOV","4"
"A4901","MOV","4"
"A4903","AVO","-0.05"
"A4904","AVO","-0.05"
"A4905","AVO","-0.05"
"A4906","AVO","-0.05"
"A4907","CUT_P","0.05"
"A4916","MOV","2"
"A4918","SAN","-2"
"A4919","SAN","-25"
"A4936","CUT_P","0.05"
"A4937","CUT_P","0.15"
"A4941","MOV","2"
"A4942","AVO","-0.15"
"A4946","CUT_P","0.05"
"A4987","CUT_P","0.05"
"A4988","CUT_P","0.05"
"A4989","CUT_P","0.05"
"A4990","CUT_P","0.05"
"A4991","CUT_P","0.05"
"A4993","SAN","-45"
"A4994","CUT_P","0.15"
"A4995","CUT_P","0.05"
"A4996","CUT_P","0.05"
"A4997","CUT_P","0.05"
"A5001","CUT_P","0.05"
"A5002","AVO","-0.05"
"A5003","AVO","-0.05"
"A5020","AVO","-0.05"
"A5021","CUT_P","0.05"
"A5025","CUT_P","0.05"
"A5030","MOV","3"
"A4044","CUT_P","0.1"
"A4045","CUT_P","0.1"
"A4046","CUT_P","0.1"
"A4047","CUT_P","0.1"
"A4048","CUT_P","0.05"
"A4049","CUT_P","0.05"
"A4050","CUT_P","0.05"
"A4051","CUT_P","0.15"
"A4052","CUT_P","0.15"
"A4053","CUT_P","0.15"
"A4054","CUT_P","0.05"
"A4055","CUT_P","0.05"
"A4056","CUT_P","0.05"
"A4057","CUT_P","0.03"
"A4058","CUT_P","0.03"
"A4059","CUT_P","0.03"
"A4060","CUT_P","0.04"
"A4095","CUT_P","0.03"
"A4096","CUT_P","0.1"
"A4097","CUT_P","0.03"
"A4098","CUT_P","0.04"
"A4099","CUT_P","0.04"
"A4100","CUT_P","0.04"
"A4101","CUT_P","0.04"
"A4102","CUT_P","0.04"
"A4103","CUT_P","0.04"
"A4104","CUT_P","0.1"
"A4105","CUT_P","-0.1"
"A4106","CUT_P","-0.1"
"A4107","CUT_P","-0.1"
"A4108","CUT_P","0.22"
"A4109","CUT_P","-0.1"
"A4110","CUT_P","-0.1"
"A4111","CUT_P","-0.1"
"A4112","CUT_P","-0.07"
"A4113","CUT_P","-0.07"
"A4114","CUT_P","-0.07"
"A4115","CUT_P","0.1"
"A4116","CUT_P","0.1"
"A4117","CUT_P","0.1"
"A4118","CUT_P","0.1"
"A4119","CUT_P","0.1"
"A4120","CUT_P","0.1"
"A4121","CUT_P","0.1"
"A4122","CUT_P","0.05"
"A4123","CUT_P","0.1"
"A4124","CUT_P","0.05"
"A4125","CUT_P","0.08"
"A4126","CUT_P","0.05"
"A4127","CUT_P","0.09"
"A4128","CUT_P","0.05"
"A4129","CUT_P","0.09"
"A4130","CUT_P","0.09"
"A4131","CUT_P","0.09"
"A4132","CUT_P","0.05"
"A4133","CUT_P","0.05"
"A4134","CUT_P","0.05"
"A4135","CUT_P","0.05"
"A4136","CUT_P","0.05"
"A4137","CUT_P","0.05"
"A4162","CUT_P","0.25"
"A4192","CUT_P","0.25"
"A4193","CUT_P","0.33"
"A4196","POW","20"
"A4197","SAN","-5"
"A4234","CRT_P","0.05"
"A4235","CRT_P","0.05"
"A4236","CRT_P","0.05"
"A4237","CRT_P","0.05"
"A4238","CRT_P","0.05"
"A4239","CRT_P","0.05"
"A4240","CRT_P","0.15"
"A4250","CUT_P","0.22"
"A4260","CRT_P","0.05"
"A4261","CRT_P","0.05"
"A4262","CRT_P","0.05"
"A4263","CRT_P","0.05"
"A4264","CRT_P","0.05"
"A4265","CRT_P","0.05"
"A4266","CRT_P","0.05"
"A4267","CRT_P","0.05"
"A4268","CRT_P","0.05"
"A4269","CRT_P","0.05"
"A4270","CRT_P","0.05"
"A4271","CRT_P","0.05"
"A4272","CRT_P","0.05"
"A4273","CRT_P","0.05"
"A4274","CRT_P","0.05"
"A4275","CRT_P","0.05"
"A4276","CRT_P","0.05"
"A4718","CRT_P","0.05"
"A4719","CRT_P","0.05"
"A4720","CRT_P","0.05"
"A4721","CRT_P","0.05"
"A4722","CRT_P","0.05"
"A4723","CRT_P","0.05"
"A4724","CRT_P","0.05"
"A4734","CRT_P","0.05"
"A4735","CRT_P","0.05"
"A4736","CRT_P","0.05"
"A4737","CRT_P","0.05"
"A4747","CRT_P","0.05"
"A4769","POW","-10"
"A4903","CUT_P","0.05"
"A4904","CUT_P","0.05"
"A4905","CUT_P","0.05"
"A4906","CUT_P","0.05"
"A4942","CUT_P","0.15"
"A5020","CUT_P","0.05"
"A4098","CRT_P","0.05"
"A4099","CRT_P","0.1"
"A4100","CRT_V","3"
"A4101","CRT_P","0.5"
"A4102","CRT_V","1"
"A4103","CRT_V","3"
"A4162","MOV","-8"
"A4192","MOV","-8"
"A4193","MOV","-12"
"A4197","POW","-5"
"A4234","CRT_V","0.5"
"A4235","CRT_V","0.5"
"A4236","CRT_V","0.5"
"A4237","CRT_V","0.5"
"A4238","CRT_V","0.5"
"A4239","CRT_V","0.5"
"A4240","CRT_V","0.5"
"A4250","MOV","-20"
"A4260","CRT_V","0.5"
"A4261","CRT_V","0.5"
"A4262","CRT_V","0.5"
"A4263","CRT_V","1.5"
"A4264","CRT_V","0.5"
"A4265","CRT_V","0.5"
"A4266","CRT_V","2.5"
"A4267","CRT_V","0.5"
"A4268","CRT_V","0.5"
"A4269","CRT_V","0.5"
"A4270","CRT_V","0.5"
"A4271","CRT_V","3.5"
"A4272","CRT_V","0.5"
"A4273","CRT_V","0.5"
"A4274","CRT_V","1.5"
"A4275","CRT_V","1.5"
"A4276","CRT_V","0.5"
