"ACTIONEVENTID","BATTLE","FIELD","DESC","TARGETTYPE","PARAMETERTYPE","TARGETNAME","ATTR","VAL","P","SPREAD","DCT","ANIMATIONID","ANIMATIONMOVETYPE"
"E00043","TRUE","TRUE","術者正気度消費10","SELF","STATUS","SAN","NONE","10","1","0.05","DIRECT","",""
"E00044","TRUE","TRUE","術者正気度消費11","SELF","STATUS","SAN","NONE","11","1","0.05","DIRECT","",""
"E00045","TRUE","TRUE","術者正気度消費12","SELF","STATUS","SAN","NONE","12","1","0.05","DIRECT","",""
"E00046","TRUE","TRUE","術者正気度消費13","SELF","STATUS","SAN","NONE","13","1","0.05","DIRECT","",""
"E00047","TRUE","TRUE","術者正気度消費14","SELF","STATUS","SAN","NONE","14","1","0.05","DIRECT","",""
"E00048","TRUE","TRUE","術者正気度消費15","SELF","STATUS","SAN","NONE","15","1","0.05","DIRECT","",""
"E00049","TRUE","TRUE","術者正気度消費16","SELF","STATUS","SAN","NONE","16","1","0.05","DIRECT","",""
"E00050","TRUE","TRUE","術者正気度消費17","SELF","STATUS","SAN","NONE","17","1","0.05","DIRECT","",""
"E00051","TRUE","TRUE","術者正気度消費18","SELF","STATUS","SAN","NONE","18","1","0.05","DIRECT","",""
"E00052","TRUE","TRUE","術者正気度消費19","SELF","STATUS","SAN","NONE","19","1","0.05","DIRECT","",""
"E00053","TRUE","TRUE","術者正気度消費20","SELF","STATUS","SAN","NONE","20","1","0.05","DIRECT","",""
"E00054","TRUE","TRUE","術者正気度消費21","SELF","STATUS","SAN","NONE","21","1","0.05","DIRECT","",""
"E00055","TRUE","TRUE","術者正気度消費22","SELF","STATUS","SAN","NONE","22","1","0.05","DIRECT","",""
"E00056","TRUE","TRUE","術者正気度消費23","SELF","STATUS","SAN","NONE","23","1","0.05","DIRECT","",""
"E00057","TRUE","TRUE","術者正気度消費24","SELF","STATUS","SAN","NONE","24","1","0.05","DIRECT","",""
"E00058","TRUE","TRUE","術者正気度消費25","SELF","STATUS","SAN","NONE","25","1","0.05","DIRECT","",""
"E00059","TRUE","TRUE","術者正気度消費26","SELF","STATUS","SAN","NONE","26","1","0.05","DIRECT","",""
"E00060","TRUE","TRUE","術者正気度消費27","SELF","STATUS","SAN","NONE","27","1","0.05","DIRECT","",""
"E00061","TRUE","TRUE","術者正気度消費28","SELF","STATUS","SAN","NONE","28","1","0.05","DIRECT","",""
"E00062","TRUE","TRUE","術者正気度消費29","SELF","STATUS","SAN","NONE","29","1","0.05","DIRECT","",""
"E00063","TRUE","TRUE","術者正気度消費30","SELF","STATUS","SAN","NONE","30","1","0.05","DIRECT","",""
"E00064","TRUE","TRUE","術者正気度消費31","SELF","STATUS","SAN","NONE","31","1","0.05","DIRECT","",""
"E00065","TRUE","TRUE","術者正気度消費32","SELF","STATUS","SAN","NONE","32","1","0.05","DIRECT","",""
"E00066","TRUE","TRUE","HP斬撃5","ONE","STATUS","HP","CHOP","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00067","TRUE","TRUE","HP斬撃10","ONE","STATUS","HP","CHOP","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00068","TRUE","TRUE","HP斬撃20","ONE","STATUS","HP","CHOP","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00069","TRUE","TRUE","HP斬撃30","ONE","STATUS","HP","CHOP","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00070","TRUE","TRUE","HP斬撃40","ONE","STATUS","HP","CHOP","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00071","TRUE","TRUE","HP斬撃50","ONE","STATUS","HP","CHOP","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00072","TRUE","TRUE","HP斬撃60","ONE","STATUS","HP","CHOP","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00073","TRUE","TRUE","HP斬撃70","ONE","STATUS","HP","CHOP","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00074","TRUE","TRUE","HP斬撃80","ONE","STATUS","HP","CHOP","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00075","TRUE","TRUE","HP斬撃90","ONE","STATUS","HP","CHOP","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00076","TRUE","TRUE","HP斬撃100","ONE","STATUS","HP","CHOP","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00077","TRUE","TRUE","HP衝撃5","ONE","STATUS","HP","IMPACT","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00078","TRUE","TRUE","HP衝撃10","ONE","STATUS","HP","IMPACT","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00079","TRUE","TRUE","HP衝撃20","ONE","STATUS","HP","IMPACT","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00080","TRUE","TRUE","HP衝撃30","ONE","STATUS","HP","IMPACT","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00081","TRUE","TRUE","HP衝撃40","ONE","STATUS","HP","IMPACT","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00082","TRUE","TRUE","HP衝撃50","ONE","STATUS","HP","IMPACT","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00083","TRUE","TRUE","HP衝撃60","ONE","STATUS","HP","IMPACT","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00084","TRUE","TRUE","HP衝撃70","ONE","STATUS","HP","IMPACT","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00085","TRUE","TRUE","HP衝撃80","ONE","STATUS","HP","IMPACT","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00086","TRUE","TRUE","HP衝撃90","ONE","STATUS","HP","IMPACT","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00087","TRUE","TRUE","HP衝撃100","ONE","STATUS","HP","IMPACT","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00088","TRUE","TRUE","HP刺突5","ONE","STATUS","HP","STAB","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00089","TRUE","TRUE","HP刺突10","ONE","STATUS","HP","STAB","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00090","TRUE","TRUE","HP刺突20","ONE","STATUS","HP","STAB","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00091","TRUE","TRUE","HP刺突30","ONE","STATUS","HP","STAB","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00092","TRUE","TRUE","HP刺突40","ONE","STATUS","HP","STAB","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00093","TRUE","TRUE","HP刺突50","ONE","STATUS","HP","STAB","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00094","TRUE","TRUE","HP刺突60","ONE","STATUS","HP","STAB","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00095","TRUE","TRUE","HP刺突70","ONE","STATUS","HP","STAB","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00096","TRUE","TRUE","HP刺突80","ONE","STATUS","HP","STAB","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00097","TRUE","TRUE","HP刺突90","ONE","STATUS","HP","STAB","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00098","TRUE","TRUE","HP刺突100","ONE","STATUS","HP","STAB","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00099","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00100","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00101","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00102","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00103","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00104","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00105","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00106","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00107","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00108","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00109","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","FLAME","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00110","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00111","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00112","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00113","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00114","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00115","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00116","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00117","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00118","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00119","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00120","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ICE","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00121","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00122","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00123","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00124","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00125","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00126","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00127","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00128","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00129","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00130","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00131","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","WATER","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00132","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00133","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00134","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00135","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00136","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00137","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00138","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00139","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00140","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00141","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00142","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","THNDER","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00143","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00144","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00145","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00146","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00147","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00148","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00149","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00150","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00151","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00152","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00153","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","AIR","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00154","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00155","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00156","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00157","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00158","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00159","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00160","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00161","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00162","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00163","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00164","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","EARTH","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00165","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00166","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00167","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00168","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00169","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00170","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00171","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00172","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00173","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00174","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00175","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","LIGHT","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00176","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00177","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00178","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00179","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00180","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00181","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00182","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00183","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00184","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00185","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00186","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","DARK","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00187","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00188","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00189","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00190","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00191","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-40","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00192","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-50","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00193","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-60","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00194","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-70","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00195","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-80","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00196","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-90","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00197","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","MYSTERY","-100","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00198","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ALCHEMY","-5","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00199","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ALCHEMY","-10","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00200","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ALCHEMY","-20","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
"E00201","TRUE","TRUE","属性ダメージ","ONE","STATUS","HP","ALCHEMY","-30","0.925","0.05","USE_DAMAGE_CALC","AA01","TGT"
