"ITEMID","VISIBLENAME","DESC","VAL","SLOTID","WEAPONTYPE","AREA","CANSALE","CURRENTUPGRADENUM","DCSCSV","WAITTIME","SOUNDID","ATTACKCOUNT","SELECTTYPE","IFF","DEFAULTTARGETTEAM","SWITCHTEAM","SELFTARGET","TARGETING"
"A4035","瓶詰煮豆","煮た豆だ！/味方一人の体力をわずかに回復する。","200",,,,"TRUE",,,"60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4036","煮豆とトマトの瓶詰","煮た豆だ！/味方一人の体力をわずかに回復する。","220",,,,"TRUE",,,"60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4037","ニシンの缶詰","魚の缶詰だ！/味方一人の体力をわずかに回復する。","220",,,,"TRUE",,,"60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4038","きれいな水","飲める水だ。体力と精神力をわずかに回復する。炎上を回復する。","100",,,,"TRUE",,,"60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4039","汚染水","飲めないこともない水だ。/体力と精神力をわずかに回復するが、まれに毒状態になる。/炎上を回復する。","25",,,,"TRUE",,,"60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4040","パン","小麦を発酵させて焼いたやつだ。/味方一人の体力をわずかに回復する。","100",,,,"TRUE",,,"60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4041","納豆","豆を発酵させたやつだ。/味方一人の体力をわずかに回復する。/また、毒が治る。","50",,,,"TRUE",,,"60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4042","骨付き焼肉","味方一人の体力をわずかに回復する。","600",,,,"TRUE",,,"60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4043","肉付き焼骨","メイスとして使える骨だ。/食べることもでき、味方一人の体力をわずかに回復する。/骨ばかりでちょっと固いが。","300","ARM","WT0001","24","TRUE","0","STR","60","SD1013","1","ONE","FALSE","PARTY","TRUE","TRUE","TRUE"
"A4044","ヤサグレメタルの剣","モンスターの特殊な合金で作られた強力な剣だ。/おうやんのか？やんのか？","550000","ARM","WT0001","35","TRUE","0","STR",,,"1",,,,,,
"A4045","銅の剣","比較的安い量産品の剣だ。","12400","ARM","WT0001","35","TRUE","0","STR",,,"1",,,,,,
"A4046","鉄の剣","比較的安い量産品の剣だ。","13200","ARM","WT0001","35","TRUE","0","STR",,,"1",,,,,,
"A4047","鋼の剣","比較的安い量産品の剣だ。","14000","ARM","WT0001","35","TRUE","0","STR",,,"1",,,,,,
"A4048","銅のショートソード","比較的安い量産品の剣だ。","13200","ARM","WT0002","20","TRUE","0","STR,DEX",,,"1",,,,,,
"A4049","鉄のショートソード","比較的安い量産品の剣だ。","14000","ARM","WT0002","20","TRUE","0","STR,DEX",,,"1",,,,,,
"A4050","鋼のショートソード","比較的安い量産品の剣だ。","14800","ARM","WT0002","20","TRUE","0","STR,DEX",,,"1",,,,,,
"A4051","銅の大剣","比較的安い量産品の剣だ。","14800","ARM","WT0003","50","TRUE","0","STR",,,"1",,,,,,
"A4052","鉄の大剣","比較的安い量産品の剣だ。","15600","ARM","WT0003","50","TRUE","0","STR",,,"1",,,,,,
"A4053","鋼の大剣","比較的安い量産品の剣だ。","16200","ARM","WT0003","50","TRUE","0","STR",,,"1",,,,,,
"A4054","銅の突剣","比較的安い量産品の剣だ。","13200","ARM","WT0004","35","TRUE","0","DEX",,,"1",,,,,,
"A4055","鉄の突剣","比較的安い量産品の剣だ。","14000","ARM","WT0004","35","TRUE","0","DEX",,,"1",,,,,,
"A4056","鋼の突剣","比較的安い量産品の剣だ。","14800","ARM","WT0004","35","TRUE","0","DEX",,,"1",,,,,,
"A4057","銅の刀","比較的安い量産品の剣だ。","14800","ARM","WT0005","35","TRUE","0","STR,DEX",,,"1",,,,,,
"A4058","鉄の刀","比較的安い量産品の剣だ。","15600","ARM","WT0005","35","TRUE","0","STR,DEX",,,"1",,,,,,
"A4059","無銘の太刀","いつだれが作ったともわからない太刀だ。","16200","ARM","WT0005","35","TRUE","0","STR,DEX",,,"1",,,,,,
"A4060","ベルマの銃剣","ベルマ国の標準装備の銃剣だ。/刃渡り25センチくらいで、黒染めされている。先端は鋭いが、切れ味は鈍い。","18500","ARM","WT0002","20","TRUE","0","STR,DEX",,,"1",,,,,,
"A4061","割れた酒瓶","割れてしまったビンだ。短剣の代わりになるだろう。","25","ARM","WT0002","18","TRUE","0","STR,DEX",,,"1",,,,,,
"A4062","割れた激辛ソースの瓶","割れてしまったビンだ。短剣の代わりになるだろう。","15","ARM","WT0002","18","TRUE","0","STR,DEX",,,"1",,,,,,
"A4063","漁師の糸切鋏","漁師が絡まった糸などを切るための鋏だ。","240","ARM","WT0002","12","TRUE","0","STR,DEX",,,"1",,,,,,
"A4064","漁網","漁師が使う網だ。まとめて束ねれば鞭の用になる。","800","ARM","WT0012","30","TRUE","0","STR,DEX",,,"1",,,,,,
"A4065","まな板","一般的なまな板だ。盾の代わりになるかもしれない。","800","OTHER",,,"TRUE",,,,,"1",,,,,,
"A4066","高級まな板","一般的なまな板だ。盾の代わりになるかもしれない。","1600","OTHER",,,"TRUE",,,,,"1",,,,,,
"A4067","柳葉包丁","魚を切るための包丁だ！","2400","ARM","WT0002","25","TRUE","0","STR,DEX",,,"1",,,,,,
"A4068","鋸","一般的な鋸だ！剣の代わりになるだろう。","1600","ARM","WT0001","40","TRUE","0","STR,DEX",,,"1",,,,,,
"A4069","鍬","農具だ。槍の代わりになるかもしれない。","1600","ARM","WT0006","44","TRUE","0","STR",,,"1",,,,,,
"A4070","鋤","農具だ。槍の代わりになるかもしれない。","1600","ARM","WT0006","44","TRUE","0","STR,DEX",,,"1",,,,,,
"A4071","釘","釘だ。これを武器として使うのか？正気か？","15","ARM","WT0004","3","TRUE","0","DEX",,,"1",,,,,,
"A4072","金槌","工具だ。水に浮かない。","500","ARM","WT0008","12","TRUE","0","STR",,,"1",,,,,,
"A4073","木槌","工具だ。水に浮く。","1000","ARM","WT0008","12","TRUE","0","STR",,,"1",,,,,,
"A4074","腹割き包丁","つるした獲物の腹を裂く鈍い色をした包丁だ。","800","ARM","WT0002","18","TRUE","0","STR,DEX",,,"1",,,,,,
"A4075","呪われた骨董品の腹割き包丁","その昔妊婦の腹を捌いたという呪われた包丁だ。/今でも血の匂いがする。","800","ARM","WT0002","18","TRUE","0","STR,DEX",,,"1",,,,,,
"A4076","ベレソアに売られた末妹の怨念の腕","その昔何でも屋に売られたという娘の腕だ。/今でも血の匂いがする。","1","ARM","WT0008","25","TRUE","0","STR,DEX",,,"1",,,,,,
"A4077","魚屋の長包丁","お魚屋さんが使う包丁だ！","8900","ARM","WT0005","48","TRUE","0","STR,DEX",,,"1",,,,,,
"A4078","オサカナカッター","お魚屋さんが使う包丁だ！","8900","ARM","WT0003","50","TRUE","0","STR,DEX",,,"1",,,,,,
"A4079","オサナカカッター","お魚屋さんが使う包丁・・・なのか？","890","ARM","WT0003","50","TRUE","0","STR,DEX",,,"1",,,,,,
"A4080","漁師の銛","漁師が使う銛だ。","2400","ARM","WT0006","48","TRUE","0","STR,DEX",,,"1",,,,,,
"A4081","シャベル","穴を掘ったりするための道具だ。/剣の代わりになるだろう。","1000","ARM","WT0001","25","TRUE","0","STR,DEX",,,"1",,,,,,
"A4082","堅木の山杖","かなり頑丈な木の枝で、山杖として使われているようだ。","800","ARM","WT0008","42","TRUE","0","STR",,,"1",,,,,,
"A4083","いい感じの木の棒","その辺で拾った木の棒だ。メイスの代わりになるだろう。","40","ARM","WT0008","36","TRUE","0","STR",,,"1",,,,,,
"A4084","小舟のオール","船を漕ぐためのオールだ。/その昔大剣の代わりに使った人もいたという。","1200","ARM","WT0003","55","TRUE","0","STR,DEX",,,"1",,,,,,
"A4085","フライパン","調理器具だ！硬いぞ！","2000","ARM","WT0008","25","TRUE","0","STR,DEX",,,"1",,,,,,
"A4086","おたま","調理器具だ。/これを武器として使うのか？正気か？","150","ARM","WT0008","15","TRUE","0","DEX",,,"1",,,,,,
"A4087","縫針","縫い針だ。これを武器として使うのか？正気か？","2","ARM","WT0004","5","TRUE","0","DEX",,,"1",,,,,,
"A4088","極太縫針","太""い""！！","4","ARM","WT0004","5","TRUE","0","DEX",,,"1",,,,,,
"A4089","業務用・超極太縫針","超太""い""！！！","8","ARM","WT0004","5","TRUE","0","DEX",,,"1",,,,,,
"A4090","試作・超絶極太縫針","太いー太いー太すぎる！！！！","16","ARM","WT0004","5","TRUE","0","DEX",,,"1",,,,,,
"A4091","鋏","一般的な鋏だ。","350","ARM","WT0004","15","TRUE","0","DEX",,,"1",,,,,,
"A4092","懐中小刀","折り畳み式の小刀だ。","800","ARM","WT0002","18","TRUE","0","STR,DEX",,,"1",,,,,,
"A4093","名刀「炎鬼の短刀」","昔怖い人が使っていたという短刀だ。","89300","ARM","WT0002","24","TRUE","0","STR,DEX",,,"1",,,,,,
"A4094","野外活動用の小刀","野宿するときの相棒だ。","1400","ARM","WT0002","20","TRUE","0","STR,DEX",,,"1",,,,,,
"A4095","骨董品の太刀","古びた剣だ。輝きは失ったが鋭さはまだのこっている。","25000","ARM","WT0005","40","TRUE","0","STR,DEX",,,"1",,,,,,
"A4096","骨董品の長剣","古びた剣だ。輝きは失ったが鋭さはまだのこっている。","25000","ARM","WT0001","40","TRUE","0","STR",,,"1",,,,,,
"A4097","手製の竹光","お手製の竹の刀だ。","500","ARM","WT0005","40","TRUE","0","STR,DEX",,,"1",,,,,,
"A4098","名刀「震影」","東の国で作られた名刀ともいわれる一品だ。","252500","ARM","WT0005","38","TRUE","0","STR,DEX",,,"1",,,,,,
"A4099","名刀「不知火」","東の国で作られた名刀ともいわれる一品だ。","198000","ARM","WT0005","40","TRUE","0","STR,DEX",,,"1",,,,,,
"A4100","名刀「虹」","東の国で作られた名刀ともいわれる一品だ。","9600000","ARM","WT0005","40","TRUE","0","STR,DEX",,,"1",,,,,,
"A4101","名刀「秋水」","東の国で作られた名刀ともいわれる一品だ。","1111111","ARM","WT0005","40","TRUE","0","STR,DEX",,,"1",,,,,,
"A4102","アショスの陽光","東の国で作られた刀だ。若干短いが十分強い。","320000","ARM","WT0005","34","TRUE","0","STR,DEX",,,"1",,,,,,
"A4103","名刀「月光丸卍」","神話に登場する伝説の剣だ。/クリティカルダメージが4倍になる。","9990000","ARM","WT0005","36","TRUE","0","STR,DEX",,,"1",,,,,,
"A4104","兵士の直剣","兵士が標準装備している武器だ。/性能が安定しており、使いやすい。","240000","ARM","WT0001","38","TRUE","0","STR",,,"1",,,,,,
"A4105","狩猟弓","狩猟につかわれる安価な弓だ。/矢がないと攻撃できない。","8800","ARM","WT0009","440","TRUE","0","DEX",,,"1",,,,,,
"A4106","毒付きの狩猟弓","狩猟につかわれる安価な弓だ。毒セット。/矢がないと攻撃できない。","12800","ARM","WT0009","440","TRUE","0","DEX",,,"1",,,,,,
"A4107","兵士の弩","兵士が標準装備している武器だ。/性能が安定しており、使いやすい。/ボルトがないと攻撃できない。","240000","ARM","WT0010","320","TRUE","0","DEX",,,"1",,,,,,
"A4108","兵士の大盾","兵士が標準装備している武器だ。/性能が安定しており、使いやすい。","480000","ARM","WT0007","16","TRUE","0","STR",,,"1",,,,,,
"A4109","ベルマ魔道銃「２６型」","ベルマ国のちょっと古い魔道銃だ。/銃弾がないと攻撃できない。","480000","ARM","WT0011","28","TRUE","0","DEX",,,"1",,,,,,
"A4110","ベルマ魔道銃「１１１型」","ベルマ国の標準的な魔道銃だ。/銃弾がないと攻撃できない。","770000","ARM","WT0011","28","TRUE","0","DEX",,,"1",,,,,,
"A4111","ベルマ魔道銃「１５７型」","ベルマ国の最新の魔道銃だ。/銃弾がないと攻撃できない。","1280000","ARM","WT0011","28","TRUE","0","DEX",,,"1",,,,,,
"A4112","銃剣付きベルマ魔道銃「２６型」","ベルマ国のちょっと古い魔道銃だ。/銃剣がついているので、近接攻撃ができる。/銃弾がないと攻撃できない。","498500","ARM","WT0011","28","TRUE","0","DEX",,,"1",,,,,,
"A4113","銃剣付きベルマ魔道銃「１１１型」","ベルマ国の標準的な魔道銃だ。/銃剣がついているので、近接攻撃ができる。/銃弾がないと攻撃できない。","788500","ARM","WT0011","28","TRUE","0","DEX",,,"1",,,,,,
"A4114","銃剣付きベルマ魔道銃「１５７型」","ベルマ国の最新の魔道銃だ。/銃剣がついているので、近接攻撃ができる。/銃弾がないと攻撃できない。","1298500","ARM","WT0011","28","TRUE","0","DEX",,,"1",,,,,,
"A4115","デルフィン・スレイヤー","その昔いやなおばさんをたたき伏せたという伝説の大槌だ。/見た目はただの鉄のピッケルに見える。","20000","ARM","WT0008","49","TRUE","0","STR",,,"1",,,,,,
"A4116","折れた直剣","曲がるより前に折れてしまった剣だ。/短剣として使えるが直剣特有の頑丈さもある。","22000","ARM","WT0002","28","TRUE","0","STR,DEX",,,"1",,,,,,
"A4117","折れた伝説の剣「日月」","神話に登場する伝説の剣だ。","1980000","ARM","WT0002","40","TRUE","0","STR,DEX",,,"1",,,,,,
"A4118","伝説の剣「西焔」","神話に登場する伝説の剣だ。","4600000","ARM","WT0001","40","TRUE","0","STR",,,"1",,,,,,
"A4119","伝説の剣「敵くだき」","神話に登場する伝説の剣だ。","5960000","ARM","WT0001","38","TRUE","0","STR",,,"1",,,,,,
"A4120","うたわれし蛇流派の銀の剣","非常によく作られた直剣だ。蛇の紋章がある。","1400000","ARM","WT0001","42","TRUE","0","STR",,,"1",,,,,,
"A4121","うたわれし蛇流派の鋼の剣","非常によく作られた直剣だ。蛇の紋章がある。","1400000","ARM","WT0001","42","TRUE","0","STR",,,"1",,,,,,
"A4122","ファルコン","とても軽い合金でできた剣で、2回攻撃できる。","540000","ARM","WT0001","38","TRUE","0","STR,DEX",,,"2",,,,,,
"A4123","マスカレイド","細い剣だが、なぜか大剣として使える。/重さは軽いので、振り回しやすい。","500000","ARM","WT0003","38","TRUE","0","STR,DEX",,,"1",,,,,,
"A4124","銀のレイピア","銀でできた細い剣で、鋼には劣るが装飾が豪華でなかなか良い。","250000","ARM","WT0004","38","TRUE","0","DEX",,,"1",,,,,,
"A4125","エストック","細い剣だが頑丈にできている人気の軽い武器だ。","180000","ARM","WT0004","38","TRUE","0","DEX",,,"1",,,,,,
"A4126","畑の小鎌","畑にある日用品だ。","1800","ARM","WT0015","28","TRUE","0","DEX",,,"1",,,,,,
"A4127","農民の大鎌","畑にある日用品だ。","4700","ARM","WT0015","48","TRUE","0","DEX",,,"1",,,,,,
"A4128","魔導士の杖","普通の魔導士が良く使っている杖だ。","5000","ARM","WT0013","20","TRUE","0","POW",,,"1",,,,,,
"A4129","名槍「蚊捌」","飛んでいる蚊をも落としたという名槍だ。","5000000","ARM","WT0006","80","TRUE","0","STR,DEX",,,"1",,,,,,
"A4130","狩猟槍","狩猟につかう原始的な槍。","11000","ARM","WT0006","75","TRUE","0","STR,DEX",,,"1",,,,,,
"A4131","鋼の薙刀","武僧が使う武器。槍として使える。","24000","ARM","WT0006","75","TRUE","0","STR,DEX",,,"1",,,,,,
"A4132","暴力的な釘付き棒","釘を打ち込んだ木の棒だ。痛そう。","2100","ARM","WT0008","28","TRUE","0","STR",,,"1",,,,,,
"A4133","炎のロッド","魔術が込められた石がついてる杖だ。","7500","ARM","WT0013","22","TRUE","0","POW",,,"1",,,,,,
"A4134","氷のロッド","魔術が込められた石がついてる杖だ。","7500","ARM","WT0013","22","TRUE","0","POW",,,"1",,,,,,
"A4135","風のロッド","魔術が込められた石がついてる杖だ。","7500","ARM","WT0013","22","TRUE","0","POW",,,"1",,,,,,
"A4136","水のロッド","魔術が込められた石がついてる杖だ。","7500","ARM","WT0013","22","TRUE","0","POW",,,"1",,,,,,
"A4137","大地のロッド","魔術が込められた石がついてる杖だ。","7500","ARM","WT0013","22","TRUE","0","POW",,,"1",,,,,,
"A4138","風の指揮棒","↑←→","16800","ARM","WT0013","18","TRUE","0","POW",,,"1",,,,,,
"A4139","小枝","木の小枝で、魔術師が使えばロッドの代わりになるだろう。","50","ARM","WT0013","10","TRUE","0","POW",,,"1",,,,,,
"A4140","花付きの枝","木の小枝で、魔術師が使えばロッドの代わりになるだろう。","500","ARM","WT0013","10","TRUE","0","POW",,,"1",,,,,,
"A4141","ペロペロステッキ","愉快なカラフル模様のステッキだ。魔術師が使えばロッドの代わりになるだろう。","1200","ARM","WT0013","28","TRUE","0","POW",,,"1",,,,,,
"A4142","デューク君のストラップ","Duke君のかわいいストラップだ。/この世に存在するものとは思えない神秘的な見た目をしている。","800","OTHER",,,"TRUE","0",,,,,,,,,,
"A4143","漁師のお守り","漁師が漁の成功を祈って持っていくお守りだ。","400","OTHER",,,"TRUE","0",,,,,,,,,,
"A4144","形見のアミュレット","誰かが大事にしているアミュレットだ。","1200","OTHER",,,"TRUE","0",,,,,,,,,,
"A4145","思い出のケープ","子供のころから使っていたケープ。/思い出がいっぱい詰まっている。","4800","OTHER",,,"FALSE","0",,,,,,,,,,
"A4146","太陽のメガネ","虹色に輝くメガネで、装備するとクリティカル率が高まる。","12500","OTHER",,,"TRUE","0",,,,,,,,,,
"A4147","健康祈願のお守り","健康な人もそうでない人も個のお守りで健康に過ごせることを祈る。/体力がちょっと上がる。","800","OTHER",,,"TRUE","0",,,,,,,,,,
"A4148","力の指輪","装備すると筋力が少し上がる。","1600","OTHER",,,"TRUE","0",,,,,,,,,,
"A4149","豪傑の腕輪","装備すると筋力が上がる。","2200","OTHER",,,"TRUE","0",,,,,,,,,,
"A4150","星降の腕輪","星々の装飾が入った腕輪だ。/素早さが大きく上がる。","3500","OTHER",,,"TRUE","0",,,,,,,,,,
"A4151","腰振の腕輪","怪しい装飾が入った怪しい腕輪だ。/素早さが少し上がる。","350","OTHER",,,"TRUE","0",,,,,,,,,,
"A4152","怪しい健康グッズ","装備すると体力が少し上がる。","9800","OTHER",,,"TRUE","0",,,,,,,,,,
"A4153","タロスのアミュレット","魔法クリティカルダメージが上昇する。","800","OTHER",,,"TRUE","0",,,,,,,,,,
"A4154","銭足のアミュレット","精神耐性が上昇する。","800","OTHER",,,"TRUE","0",,,,,,,,,,
"A4155","変哲なきネックレス","精神力が少しだけ上昇する。","700","OTHER",,,"TRUE","0",,,,,,,,,,
"A4156","変哲なき指輪","精神力が少しだけ上昇する。","700","OTHER",,,"TRUE","0",,,,,,,,,,
"A4157","メタルマカロン","誰かの髪飾りだ。防御力が少しだけ上がる。","1200","OTHER",,,"TRUE","0",,,,,,,,,,
"A4158","安物のライター","精神力が少しだけ上昇する。","200","OTHER",,,"TRUE","0",,,,,,,,,,
"A4159","ネコのチャーム","行動力が少しだけ上昇する。","200","OTHER",,,"TRUE","0",,,,,,,,,,
"A4160","庶民の服","一般的な服だ。","980","BODY",,,"TRUE","0",,,,,,,,,,
"A4161","庶民の靴","一般的な靴だ。","980","FOOT",,,"TRUE","0",,,,,,,,,,
"A4162","プレートアーマー","非常に頑丈に作られた隙のない鎧だ。","370000","BODY",,,"TRUE","0",,,,,,,,,,
"A4163","行商人の服","行商人が良く着ている頑丈で長持ちする服だ。","7500","BODY",,,"TRUE","0",,,,,,,,,,
"A4164","漁師のダイビングスーツ","漁師が素潜りをするときに着るやつだ。水耐性が上昇する。","7500","BODY",,,"TRUE","0",,,,,,,,,,
"A4165","冒険者のコート","冒険者が様々な危険から身を守るために着る/頑丈なコートだ。","13000","BODY",,,"TRUE","0",,,,,,,,,,
"A4166","農民の蓑","農民の間で普及している藁で作った外套だ。","2500","BODY",,,"TRUE","0",,,,,,,,,,
"A4167","旅人の服","旅人が着る安いが日持ちする服だ。","3600","BODY",,,"TRUE","0",,,,,,,,,,
"A4168","フルフェイスヘルメット","顔全体を覆う兜だ。","70000","HEAD",,,"TRUE","0",,,,,,,,,,
"A4169","鎖帷子","鎖を編んだ柔軟性のある鎧だ。","90000","BODY",,,"TRUE","0",,,,,,,,,,
