"BOOKID","ACTIONID"
"BK0237","A0204"
"BK0238","A0205"
"BK0239","A0206"
"BK0240","A0207"
"BK0243","A0210"
"BK0244","A0211"
"BK0245","A0212"
"BK0246","A0213"
"BK0247","A0214"
"BK0248","A0215"
"BK0249","A0216"
"BK0250","A0217"
"BK0251","A0218"
"BK0252","A0219"
"BK0253","A0220"
"BK0254","A0221"
"BK0255","A0222"
"BK0256","A0223"
"BK0257","A0224"
"BK0258","A0225"
"BK0259","A0226"
"BK0260","A0227"
"BK0261","A0228"
"BK0262","A0229"
"BK0263","A0230"
"BK0264","A0231"
"BK0265","A0232"
"BK0266","A0233"
"BK0267","A0234"
"BK0268","A0235"
"BK0269","A0236"
"BK0270","A0237"
"BK0271","A0238"
"BK0272","A0239"
"BK0273","A0240"
"BK0274","A0241"
"BK0275","A0242"
"BK0276","A0243"
"BK0277","A0244"
"BK0278","A0245"
"BK0279","A0246"
"BK0280","A0247"
"BK0281","A0248"
"BK0282","A0249"
"BK0283","A0250"
"BK0284","A0251"
"BK0285","A0252"
"BK0286","A0253"
"BK0287","A0254"
"BK0288","A0255"
"BK0289","A0256"
"BK0290","A0257"
"BK0291","A0258"
"BK0292","A0259"
"BK0293","A0260"
"BK0294","A0261"
"BK0295","A0262"
"BK0296","A0263"
"BK0297","A0264"
"BK0298","A0265"
"BK0299","A0266"
"BK0300","A0267"
"BK0301","A0268"
"BK0302","A0269"
"BK0303","A0270"
"BK0304","A0271"
"BK0305","A0272"
"BK0306","A0273"
"BK0307","A0274"
"BK0308","A0275"
"BK0309","A0276"
"BK0310","A0277"
"BK0311","A0278"
"BK0312","A0279"
"BK0313","A0280"
"BK0314","A0281"
"BK0315","A0282"
"BK0316","A0283"
"BK0317","A0284"
"BK0318","A0285"
"BK0319","A0286"
"BK0320","A0287"
"BK0321","A0288"
"BK0322","A0289"
"BK0323","A0290"
"BK0324","A0291"
"BK0325","A0292"
"BK0326","A0293"
"BK0327","A0294"
"BK0328","A0295"
"BK0329","A0296"
"BK0330","A0297"
"BK0331","A0298"
"BK0332","A0299"
"BK0333","A0300"
"BK0334","A0301"
"BK0335","A0302"
"BK0336","A0303"
"BK0337","A0304"
"BK0338","A0305"
"BK0339","A0306"
"BK0340","A0307"
"BK0341","A0308"
"BK0342","A0309"
"BK0344","A0311"
"BK0345","A0312"
"BK0346","A0313"
"BK0347","A0314"
"BK0348","A0315"
"BK0349","A0316"
"BK0350","A0317"
"BK0351","A0318"
"BK0352","A0319"
"BK0353","A0320"
"BK0354","A0321"
"BK0355","A0322"
"BK0356","A0323"
"BK0357","A0324"
"BK0358","A0325"
"BK0359","A0326"
"BK0360","A0327"
"BK0361","A0328"
"BK0362","A0329"
"BK0363","A0330"
"BK0364","A0331"
"BK0365","A0332"
"BK0366","A0333"
"BK0367","A0334"
"BK0368","A0335"
"BK0369","A0336"
"BK0370","A0337"
"BK0371","A0338"
"BK0372","A0339"
"BK0373","A0340"
"BK0374","A0341"
"BK0375","A0342"
"BK0376","A0343"
"BK0377","A0344"
"BK0378","A0345"
"BK0379","A0346"
"BK0380","A0347"
"BK0381","A0348"
"BK0382","A0349"
"BK0383","A0350"
"BK0384","A0351"
"BK0385","A0352"
"BK0386","A0353"
"BK0387","A0354"
"BK0388","A0355"
"BK0389","A0356"
"BK0390","A0357"
"BK0391","A0358"
"BK0392","A0359"
"BK0393","A0360"
"BK0394","A0361"
"BK0395","A0362"
"BK0396","A0363"
"BK0397","A0364"
"BK0398","A0365"
"BK0399","A0366"
"BK0400","A0367"
"BK0401","A0368"
"BK0402","A0369"
"BK0403","A0370"
"BK0404","A0371"
"BK0405","A0372"
"BK0406","A0373"
"BK0407","A0374"
"BK0408","A0375"
"BK0409","A0376"
"BK0410","A0377"
"BK0411","A0378"
"BK0412","A0379"
"BK0413","A0380"
"BK0414","A0381"
"BK0415","A0382"
"BK0416","A0383"
"BK0417","A0384"
"BK0418","A0385"
"BK0419","A0386"
"BK0420","A0387"
"BK0421","A0388"
"BK0422","A0389"
"BK0423","A0390"
"BK0424","A0391"
"BK0425","A0392"
"BK0426","A0393"
"BK0427","A0394"
"BK0428","A0395"
"BK0429","A0396"
"BK0430","A0397"
"BK0431","A0398"
"BK0432","A0399"
"BK0433","A0400"
"BK0434","A0401"
"BK0435","A0402"
"BK0436","A0403"
"BK0437","A0404"
"BK0438","A0405"
"BK0439","A0406"
"BK0440","A0407"
"BK0441","A0408"
"BK0442","A0409"
"BK0443","A0410"
"BK0444","A0411"
"BK0445","A0412"
"BK0446","A0413"
"BK0447","A0414"
"BK0448","A0415"
"BK0449","A0416"
"BK0450","A0417"
"BK0451","A0418"
"BK0452","A0419"
"BK0453","A0420"
"BK0454","A0421"
"BK0455","A0422"
"BK0456","A0423"
"BK0457","A0424"
"BK0458","A0425"
"BK0459","A0426"
"BK0460","A0427"
"BK0461","A0428"
"BK0462","A0429"
"BK0463","A0430"
"BK0464","A0431"
"BK0465","A0432"
"BK0466","A0433"
"BK0467","A0434"
"BK0468","A0435"
"BK0469","A0436"
"BK0470","A0437"
"BK0471","A0438"
"BK0472","A0439"
"BK0473","A0440"
"BK0474","A0441"
"BK0475","A0442"
"BK0476","A0443"
"BK0477","A0444"
"BK0478","A0445"
"BK0479","A0446"
"BK0480","A0447"
"BK0481","A0448"
"BK0482","A0449"
"BK0483","A0450"
"BK0484","A0451"
"BK0485","A0452"
"BK0486","A0453"
"BK0487","A0454"
"BK0488","A0455"
"BK0489","A0456"
"BK0490","A0457"
"BK0491","A0458"
"BK0492","A0459"
"BK0493","A0460"
"BK0494","A0461"
"BK0495","A0462"
"BK0496","A0463"
"BK0497","A0464"
"BK0498","A0465"
"BK0499","A0466"
"BK0500","A0467"
"BK0501","A0468"
"BK0502","A0469"
"BK0503","A0470"
"BK0504","A0471"
"BK0505","A0472"
"BK0506","A0473"
"BK0507","A0474"
"BK0508","A0475"
"BK0509","A0476"
"BK0510","A0477"
"BK0511","A0478"
"BK0512","A0479"
"BK0513","A0480"
"BK0514","A0481"
"BK0515","A0482"
"BK0516","A0483"
"BK0517","A0484"
"BK0518","A0485"
"BK0001","A0001"
"BK0001","A0002"
"BK0002","A0006"
"BK0003","A0016"
"BK0004","A0020"
"BK0005","A0023"
"BK0006","A0029"
"BK0007","A0032"
"BK0008","A0036"
"BK0009","A0300"
"BK0010","A0037"
"BK0011","A0047"
"BK0012","A0056"
"BK0013","A0059"
"BK0014","A0063"
"BK0015","A0066"
"BK0016","A0073"
"BK0017","A0107"
"BK0018","A0065"
"BK0019","A0001"
"BK0020","A0031"
"BK0021","A0080"
"BK0022","A0086"
"BK0023","A0107"
"BK0024","A0485"
"BK0025","A0100"
"BK0026","A0103"
"BK0027","A0107"
"BK0028","A0073"
"BK0029","A0110"
"BK0030","A0023"
"BK0031","A0001"
"BK0032","A0031"
"BK0033","A0114"
"BK0001","A0003"
"BK0002","A0007"
"BK0003","A0017"
"BK0004","A0021"
"BK0005","A0024"
"BK0006","A0030"
"BK0007","A0033"
"BK0008","A0161"
"BK0009","A0247"
"BK0010","A0044"
"BK0011","A0048"
"BK0012","A0057"
"BK0013","A0060"
"BK0014","A0064"
"BK0015","A0067"
"BK0016","A0400"
"BK0017","A0108"
"BK0018","A0332"
"BK0019","A0002"
"BK0020","A0032"
"BK0021","A0081"
"BK0022","A0087"
"BK0023","A0109"
"BK0024","A0060"
"BK0025","A0094"
"BK0026","A0104"
"BK0027","A0108"
"BK0028","A0400"
"BK0029","A0111"
"BK0030","A0024"
"BK0031","A0003"
"BK0032","A0033"
"BK0033","A0115"
"BK0001","A0004"
"BK0002","A0008"
"BK0003","A0018"
"BK0004","A0022"
"BK0005","A0025"
"BK0006","A0031"
"BK0007","A0026"
"BK0008","A0162"
"BK0009","A0248"
"BK0010","A0045"
"BK0011","A0053"
"BK0012","A0058"
"BK0013","A0061"
"BK0014","A0060"
"BK0015","A0068"
"BK0016","A0401"
"BK0017","A0109"
"BK0018","A0140"
"BK0019","A0003"
"BK0020","A0033"
"BK0021","A0082"
"BK0022","A0088"
"BK0023","A0053"
"BK0024","A0056"
"BK0025","A0095"
"BK0026","A0105"
"BK0027","A0109"
"BK0028","A0401"
"BK0029","A0112"
"BK0030","A0143"
"BK0031","A0004"
"BK0032","A0009"
"BK0033","A0116"
"BK0002","A0009"
"BK0003","A0019"
"BK0005","A0422"
"BK0002","A0010"
"BK0007","A0028"
"BK0007","A0027"
"BK0008","A0279"
"BK0009","A0331"
"BK0010","A0046"
"BK0011","A0054"
"BK0013","A0062"
"BK0014","A0061"
"BK0009","A0363"
"BK0011","A0055"
"BK0019","A0030"
"BK0020","A0035"
"BK0017","A0369"
"BK0019","A0029"
"BK0020","A0034"
"BK0021","A0083"
"BK0022","A0089"
"BK0023","A0054"
"BK0024","A0057"
"BK0031","A0030"
"BK0028","A0069"
"BK0026","A0106"
"BK0028","A0477"
"BK0029","A0113"
"BK0030","A0290"
"BK0031","A0029"
"BK0032","A0010"
"BK0033","A0138"
"BK0002","A0011"
"BK0009","A0385"
"BK0019","A0031"
"BK0021","A0085"
"BK0024","A0051"
"BK0032","A0003"
"BK0024","A0052"
"BK0032","A0004"
"BK0032","A0018"
"BK0021","A0084"
"BK0022","A0091"
"BK0023","A0055"
"BK0024","A0050"
"BK0032","A0011"
